lease_id,tenant_id,property_id,start_date,duration_months,monthly_rent
L0001,T0001,P020,2022-01-01,18,22183
L0002,T0002,P003,2022-01-08,20,39299
L0003,T0003,P005,2022-01-15,16,22874
L0004,T0004,P019,2022-01-22,9,28032
L0005,T0005,P007,2022-01-29,18,15539
L0006,T0006,P009,2022-02-05,12,19637
L0007,T0007,P007,2022-02-12,24,30583
L0008,T0008,P018,2022-02-19,7,38499
L0009,T0009,P004,2022-02-26,15,34829
L0010,T0010,P014,2022-03-05,18,25586
L0011,T0011,P018,2022-03-12,11,37759
L0012,T0012,P009,2022-03-19,17,12557
L0013,T0013,P002,2022-03-26,17,15592
L0014,T0014,P020,2022-04-02,16,26482
L0015,T0015,P015,2022-04-09,12,12200
L0016,T0016,P007,2022-04-16,6,24172
L0017,T0017,P012,2022-04-23,6,12961
L0018,T0018,P008,2022-04-30,18,24207
L0019,T0019,P015,2022-05-07,14,31357
L0020,T0020,P003,2022-05-14,8,30817
L0021,T0021,P014,2022-05-21,12,21969
L0022,T0022,P017,2022-05-28,11,12869
L0023,T0023,P004,2022-06-04,13,37810
L0024,T0024,P018,2022-06-11,14,38367
L0025,T0025,P008,2022-06-18,10,27340
L0026,T0026,P004,2022-06-25,6,23992
L0027,T0027,P002,2022-07-02,24,38643
L0028,T0028,P006,2022-07-09,15,34736
L0029,T0029,P010,2022-07-16,17,15699
L0030,T0030,P004,2022-07-23,20,33328
L0031,T0031,P018,2022-07-30,14,30877
L0032,T0032,P012,2022-08-06,22,35876
L0033,T0033,P002,2022-08-13,22,31295
L0034,T0034,P010,2022-08-20,17,13987
L0035,T0035,P004,2022-08-27,12,36103
L0036,T0036,P014,2022-09-03,7,32399
L0037,T0037,P016,2022-09-10,8,23446
L0038,T0038,P015,2022-09-17,22,11218
L0039,T0039,P008,2022-09-24,10,30880
L0040,T0040,P014,2022-10-01,22,14735
L0041,T0041,P008,2022-10-08,22,21296
L0042,T0042,P016,2022-10-15,22,37311
L0043,T0043,P013,2022-10-22,7,14555
L0044,T0044,P018,2022-10-29,7,19146
L0045,T0045,P015,2022-11-05,10,18050
L0046,T0046,P013,2022-11-12,6,22757
L0047,T0047,P009,2022-11-19,6,29830
L0048,T0048,P015,2022-11-26,24,27429
L0049,T0049,P013,2022-12-03,7,16893
L0050,T0050,P001,2022-12-10,17,28077
L0051,T0051,P007,2022-12-17,11,24373
L0052,T0052,P009,2022-12-24,9,24565
L0053,T0053,P001,2022-12-31,16,13436
L0054,T0054,P012,2023-01-07,22,18754
L0055,T0055,P008,2023-01-14,11,20677
L0056,T0056,P011,2023-01-21,10,15895
L0057,T0057,P019,2023-01-28,7,29738
L0058,T0058,P017,2023-02-04,11,26609
L0059,T0059,P008,2023-02-11,16,25636
L0060,T0060,P003,2023-02-18,21,31277
L0061,T0061,P003,2023-02-25,21,17022
L0062,T0062,P001,2023-03-04,6,19151
L0063,T0063,P005,2023-03-11,14,15600
L0064,T0064,P010,2023-03-18,11,39124
L0065,T0065,P007,2023-03-25,21,37643
L0066,T0066,P009,2023-04-01,8,17996
L0067,T0067,P007,2023-04-08,9,19007
L0068,T0068,P009,2023-04-15,24,22946
L0069,T0069,P008,2023-04-22,8,34067
L0070,T0070,P012,2023-04-29,24,14642
L0071,T0071,P002,2023-05-06,12,39887
L0072,T0072,P001,2023-05-13,14,21312
L0073,T0073,P016,2023-05-20,6,17679
L0074,T0074,P005,2023-05-27,13,18208
L0075,T0075,P003,2023-06-03,12,33723
L0076,T0076,P012,2023-06-10,23,35819
L0077,T0077,P008,2023-06-17,13,28589
L0078,T0078,P003,2023-06-24,6,20716
L0079,T0079,P001,2023-07-01,16,27453
L0080,T0080,P003,2023-07-08,23,13444
L0081,T0081,P005,2023-07-15,15,20757
L0082,T0082,P015,2023-07-22,8,24434
L0083,T0083,P014,2023-07-29,12,11060
L0084,T0084,P003,2023-08-05,21,28711
L0085,T0085,P001,2023-08-12,21,13420
L0086,T0086,P005,2023-08-19,22,10301
L0087,T0087,P014,2023-08-26,7,22468
L0088,T0088,P007,2023-09-02,6,26990
L0089,T0089,P009,2023-09-09,21,29554
L0090,T0090,P015,2023-09-16,17,10699
L0091,T0091,P015,2023-09-23,10,31472
L0092,T0092,P010,2023-09-30,10,35715
L0093,T0093,P013,2023-10-07,14,10190
L0094,T0094,P019,2023-10-14,14,20492
L0095,T0095,P007,2023-10-21,8,27364
L0096,T0096,P017,2023-10-28,24,12975
L0097,T0097,P020,2023-11-04,21,16102
L0098,T0098,P004,2023-11-11,21,27568
L0099,T0099,P005,2023-11-18,8,29711
L0100,T0100,P007,2023-11-25,6,29778
